term,int_rate,installment,emp_length,annual_inc,loan_status,dti,pub_rec,revol_bal,revol_util,total_acc,mort_acc
36,13.11,121.49,10.0,72000.0,1,20.72,0.0,12746.0,80.7,17.0,1.0
36,11.14,360.86,5.0,65000.0,1,26.84,0.0,4945.0,33.4,30.0,5.0
60,16.29,469.88,10.0,64000.0,1,19.46,0.0,2002.0,30.3,20.0,3.0
36,6.03,213.05,2.0,135996.0,1,10.82,0.0,402.0,2.2,24.0,0.0
36,12.12,324.4,10.0,60000.0,1,19.84,0.0,9604.0,77.5,11.0,2.0
36,12.12,493.26,2.0,30000.0,1,20.76,0.0,17563.0,82.1,11.0,0.0
36,14.09,547.55,1.0,65000.0,1,27.16,0.0,18723.0,70.7,22.0,0.0
36,18.75,547.95,10.0,38126.4,1,27.48,0.0,21593.0,78.2,30.0,7.0
36,15.31,974.89,10.0,106000.0,1,18.31,0.0,24471.0,82.1,30.0,6.0
36,8.9,666.82,10.0,84181.92,1,34.5,0.0,46408.0,91.9,29.0,2.0
36,14.65,206.97,10.0,52000.0,1,14.05,0.0,4099.0,91.6,30.0,6.0
36,12.12,425.88,4.0,54000.0,1,15.09,1.0,6641.0,66.4,16.0,1.0
36,7.9,190.09,2.0,22000.0,1,27.38,0.0,8005.0,53.7,10.0,0.0
36,7.9,93.88,10.0,63000.0,1,1.39,0.0,506.0,10.3,29.0,1.5905941574050508
36,7.9,190.09,10.0,22000.0,1,26.86,0.0,6683.0,63.6,9.0,0.0
36,14.65,100.04,5.0,36000.0,1,16.0,0.0,11930.0,41.3,26.0,1.0
36,17.77,864.9,10.0,80000.0,1,13.35,0.0,18368.0,74.3,21.0,3.0
36,7.9,500.65,10.0,80000.0,1,13.84,0.0,22232.0,67.5,31.0,2.0
36,14.65,310.45,4.0,51630.0,1,17.92,0.0,3996.0,60.5,21.0,1.5905941574050508
36,13.11,269.98,10.0,40050.0,1,19.99,0.0,6099.0,58.6,11.0,0.0
36,7.62,155.81,5.0,40000.0,1,17.31,0.0,7198.0,16.9,11.0,1.0
36,16.29,529.51,9.0,39000.0,1,29.26,0.0,19877.0,74.4,15.0,0.0
36,12.12,266.18,0.0,228000.0,1,9.18,1.0,3117.0,30.3,24.0,5.0
36,16.77,728.54,7.0,60000.0,1,16.4,0.0,15417.0,58.4,20.0,1.5905941574050508
36,6.03,243.49,4.0,72000.0,1,12.45,0.0,535.0,0.6,44.0,2.0
36,13.67,285.75,10.0,65500.0,1,27.0,0.0,27253.0,78.8,26.0,0.0
36,6.62,153.52,6.0,50000.0,1,9.98,0.0,1903.0,12.3,37.0,0.0
36,13.11,708.69,0.0,154100.0,1,11.15,0.0,27256.0,53.1,24.0,6.0
36,14.09,583.48,8.0,55000.0,1,10.06,0.0,17558.0,47.4,22.0,1.0
36,13.11,340.01,5.0,35000.0,1,11.76,1.0,12289.0,53.4,15.0,3.0
36,10.16,471.39,10.0,46000.0,1,11.45,0.0,13831.0,57.6,15.0,3.0
36,7.9,262.84,0.0,78000.0,1,16.49,0.0,11705.0,25.5,23.0,0.0
36,9.76,192.93,10.0,62000.0,1,3.1,0.0,4734.0,50.4,11.0,1.5905941574050508
36,14.33,247.24,10.0,40000.0,1,10.92,0.0,2487.0,60.7,35.0,3.0
36,12.12,266.18,1.0,38000.0,1,23.84,0.0,10953.0,32.8,31.0,5.0
36,8.9,1111.37,8.0,104000.0,1,4.88,0.0,20715.0,37.3,22.0,3.0
36,18.55,692.15,10.0,45000.0,1,26.58,0.0,16502.0,78.2,27.0,0.0
36,7.9,450.58,3.0,47000.0,1,13.89,0.0,15451.0,36.2,36.0,0.0
36,15.31,208.91,8.0,25000.0,1,34.22,0.0,5188.0,46.7,19.0,0.0
36,6.62,307.04,7.0,56000.0,1,14.16,0.0,9183.0,20.1,36.0,1.5905941574050508
36,18.55,327.87,8.0,50000.0,1,28.22,0.0,19345.0,94.4,25.0,1.0
36,7.9,262.84,10.0,70000.0,1,31.65,0.0,56506.0,88.3,19.0,6.0
36,6.62,359.24,1.0,35000.0,1,0.45,0.0,685.0,1.4,19.0,0.0
36,10.16,323.43,4.0,56000.0,1,22.84,0.0,31597.0,64.6,15.0,0.0
36,10.74,717.55,9.0,55000.0,1,28.3,0.0,15432.0,52.8,19.0,1.5905941574050508
36,18.49,1273.96,4.0,308000.0,1,19.64,0.0,92497.0,61.1,44.0,8.0
36,15.81,758.25,3.0,51000.0,1,19.25,0.0,361.0,14.4,29.0,4.0
36,20.49,1021.4,0.0,70000.0,1,11.35,0.0,21122.0,80.3,10.0,0.0
36,13.11,261.54,4.0,24000.0,1,16.5,0.0,5514.0,37.3,26.0,3.0
36,7.62,779.04,4.0,82000.0,1,15.97,0.0,25704.0,41.8,12.0,1.0
36,15.81,631.14,3.0,70290.0,1,22.77,0.0,10990.0,62.4,27.0,0.0
60,17.27,749.94,10.0,120000.0,1,17.04,0.0,49680.0,70.9,56.0,8.0
36,12.12,626.34,2.0,96300.0,1,2.39,0.0,5536.0,33.0,13.0,0.0
36,7.62,934.85,5.0,145000.0,1,7.37,0.0,483.0,1.1,25.0,2.0
36,8.9,762.08,3.0,157604.0,1,14.04,0.0,45024.0,92.8,28.0,3.0
36,15.8,245.41,10.0,150000.0,1,19.1,0.0,92622.0,55.8,42.0,8.0
36,12.12,399.26,7.0,95000.0,1,4.07,0.0,13893.0,60.1,29.0,7.0
36,12.12,386.79,2.0,28000.0,1,14.36,0.0,10550.0,76.3,14.0,1.0
36,6.03,724.37,10.0,102000.0,1,33.27,0.0,37804.0,24.3,63.0,8.0
36,15.31,552.73,5.0,40000.0,1,21.09,0.0,16430.0,63.7,22.0,2.0
36,17.27,644.18,10.0,68000.0,1,14.51,0.0,14368.0,82.1,26.0,2.0
36,19.22,772.12,10.0,56000.0,1,23.99,0.0,23441.0,75.9,41.0,2.0
36,11.71,217.48,1.0,90000.0,1,7.13,0.0,10254.0,78.9,18.0,1.5905941574050508
36,7.9,131.42,2.0,30000.0,1,10.52,0.0,13250.0,31.8,7.0,0.0
36,11.14,708.59,10.0,350000.0,1,8.91,0.0,61657.0,80.4,47.0,10.0
36,19.05,538.3,8.0,44000.0,1,32.87,0.0,13112.0,80.4,27.0,1.0
36,13.11,205.02,5.740067017711824,21648.0,1,22.56,0.0,13675.0,74.3,16.0,1.0
36,8.9,222.28,8.0,70000.0,1,15.89,0.0,5212.0,41.7,13.0,1.0
36,15.31,55.71,1.0,60000.0,1,12.86,0.0,27682.0,92.6,8.0,0.0
36,13.11,141.74,0.0,80000.0,1,25.06,0.0,8529.0,62.3,22.0,0.0
36,8.9,111.14,4.0,40000.0,1,19.63,0.0,0.0,0.0,14.0,1.5905941574050508
36,8.9,508.06,10.0,95000.0,1,22.99,0.0,17117.0,72.8,15.0,1.5905941574050508
36,6.03,146.1,10.0,63000.0,1,10.97,0.0,880.0,16.0,24.0,1.5905941574050508
36,13.67,272.15,4.0,55000.0,1,15.69,0.0,10734.0,76.7,15.0,0.0
36,11.14,236.2,2.0,45000.0,1,18.96,0.0,13145.0,51.9,22.0,0.0
36,8.9,635.07,4.0,48200.0,1,17.15,0.0,11534.0,54.7,12.0,1.5905941574050508
36,8.9,31.76,10.0,29000.0,1,14.53,0.0,8807.0,62.9,17.0,0.0
36,14.33,343.39,0.0,43500.0,1,13.0,0.0,8464.0,61.8,19.0,4.0
36,8.9,444.55,10.0,50000.0,1,20.59,0.0,16747.0,71.6,24.0,1.5905941574050508
36,6.62,429.86,5.0,46000.0,1,19.2,0.0,7688.0,53.8,40.0,1.5905941574050508
36,14.33,394.89,0.0,33000.0,1,32.25,0.0,7219.0,62.8,13.0,1.0
36,10.16,194.06,1.0,78000.0,1,16.83,0.0,25111.0,83.4,24.0,0.0
36,14.33,206.03,5.0,50000.0,1,25.33,0.0,9181.0,90.9,9.0,0.0
36,15.31,522.26,1.0,65000.0,1,24.78,0.0,18573.0,75.2,51.0,1.0
36,15.31,557.08,2.0,100000.0,1,20.35,0.0,13348.0,69.9,21.0,2.0
60,22.47,501.97,5.0,120000.0,1,15.01,0.0,19319.0,82.1,23.0,0.0
36,6.03,30.44,10.0,20000.0,1,4.56,0.0,2585.0,9.5,35.0,5.0
60,19.72,553.11,2.0,140000.0,1,20.24,0.0,83716.0,73.1,33.0,5.0
36,18.25,435.34,5.740067017711824,38000.0,1,4.99,0.0,6618.0,98.8,6.0,1.5905941574050508
36,8.9,762.08,8.0,250000.0,1,9.14,0.0,18023.0,43.1,31.0,1.5905941574050508
60,21.49,491.94,3.0,107500.0,1,10.39,0.0,6367.0,54.9,16.0,1.0
36,15.8,543.41,10.0,67000.0,1,31.47,0.0,50999.0,84.2,29.0,6.0
36,7.9,338.72,9.0,80000.0,1,33.4,0.0,61952.0,64.4,44.0,5.0
36,12.12,665.44,5.740067017711824,49560.0,1,21.21,0.0,29872.0,87.3,12.0,1.5905941574050508
36,17.27,171.78,9.0,27000.0,1,25.16,0.0,5192.0,86.5,22.0,1.0
60,22.47,610.73,10.0,73000.0,1,14.11,0.0,8914.0,42.6,28.0,2.0
36,7.9,209.65,6.0,37450.0,1,21.47,0.0,5939.0,35.8,27.0,1.5905941574050508
36,12.12,412.57,3.0,85000.0,1,28.6,0.0,21991.0,80.1,30.0,0.0
36,7.9,172.1,10.0,70000.0,1,25.87,1.0,13935.0,44.8,35.0,5.0
36,14.33,164.83,2.0,22967.0,1,24.61,0.0,3508.0,46.2,8.0,0.0
36,7.9,250.33,4.0,46500.0,1,25.36,0.0,33867.0,34.5,36.0,1.5905941574050508
36,7.62,311.62,0.0,60000.0,1,16.24,0.0,3349.0,23.1,23.0,0.0
36,14.27,548.95,0.0,50000.0,1,18.22,0.0,22796.0,92.3,23.0,1.5905941574050508
36,12.12,282.81,4.0,268000.0,1,0.82,0.0,6905.0,40.9,9.0,0.0
36,11.71,121.56,8.0,60000.0,1,21.94,0.0,10160.0,84.7,8.0,1.5905941574050508
36,7.9,250.33,10.0,90000.0,1,10.61,0.0,32875.0,88.4,12.0,1.0
36,8.9,381.04,5.0,45000.0,1,31.89,0.0,10898.0,56.5,21.0,0.0
36,12.12,831.8,10.0,130000.0,1,21.28,0.0,25184.0,38.6,42.0,0.0
60,24.11,615.56,1.0,65600.0,1,16.96,0.0,23596.0,98.3,39.0,1.5905941574050508
36,20.49,748.28,10.0,69000.0,1,15.51,0.0,12227.0,61.4,41.0,2.0
36,17.77,1081.12,0.0,122304.0,1,9.41,0.0,24188.0,33.4,33.0,0.0
36,8.9,228.63,5.0,55000.0,1,11.83,0.0,14118.0,39.9,18.0,1.5905941574050508
36,7.62,615.44,1.0,50000.0,1,3.24,0.0,5441.0,14.0,9.0,0.0
36,7.9,159.59,10.0,36000.0,1,31.87,0.0,20930.0,47.2,16.0,2.0
36,11.14,324.78,4.0,47500.0,1,33.52,0.0,10624.0,63.3,28.0,0.0
36,15.8,368.12,10.0,36000.0,1,24.57,1.0,1469.0,30.6,27.0,0.0
36,17.27,192.36,3.0,20000.0,1,24.78,0.0,13775.0,79.6,34.0,0.0
36,11.14,98.42,10.0,55000.0,1,25.29,0.0,3927.0,23.2,30.0,0.0
36,11.14,196.84,0.0,27000.0,1,17.42,0.0,5319.0,52.1,23.0,0.0
36,13.11,81.0,3.0,45000.0,1,1.36,0.0,784.0,10.7,15.0,3.0
36,8.9,476.3,2.0,105000.0,1,11.28,0.0,23980.0,37.5,28.0,1.5905941574050508
36,16.29,197.69,3.0,32000.0,1,26.18,0.0,4514.0,62.7,8.0,0.0
36,14.09,513.33,10.0,38000.0,1,19.71,0.0,16328.0,77.0,26.0,1.0
36,14.33,412.06,5.740067017711824,65000.0,1,27.01,0.0,21688.0,62.0,37.0,11.0
36,15.31,191.5,4.0,36000.0,1,21.93,0.0,3858.0,74.2,19.0,0.0
36,12.12,159.71,1.0,85000.0,1,13.44,0.0,18326.0,69.2,19.0,0.0
36,14.09,164.27,3.0,27936.0,1,17.57,0.0,5713.0,75.2,8.0,1.0
36,7.62,324.08,10.0,40000.0,1,12.36,0.0,9335.0,15.3,42.0,4.0
36,15.31,208.91,2.0,45000.0,1,16.64,0.0,8076.0,83.3,18.0,0.0
36,15.31,315.97,6.0,43000.0,1,8.48,0.0,10315.0,79.3,13.0,1.0
36,19.05,463.11,7.0,41600.0,1,19.79,0.0,8748.0,54.3,52.0,1.0
36,12.12,239.56,6.0,110000.0,1,14.03,0.0,17450.0,80.5,22.0,0.0
36,14.09,644.22,10.0,48000.0,1,33.23,0.0,32658.0,59.8,30.0,1.0
36,14.65,707.14,4.0,56522.58,1,12.27,0.0,17937.0,71.6,27.0,1.5905941574050508
36,12.12,319.41,7.0,56000.0,1,20.57,0.0,7813.0,46.2,30.0,3.0
36,7.9,250.33,10.0,85000.0,1,8.48,0.0,9098.0,67.9,16.0,4.0
36,15.8,771.29,5.0,55000.0,1,16.43,0.0,9449.0,63.8,17.0,0.0
60,14.65,790.83,10.0,73000.0,1,20.58,0.0,39489.0,69.5,23.0,5.0
36,12.12,209.62,0.0,31200.0,1,21.04,0.0,19625.0,73.2,18.0,0.0
36,7.62,779.04,10.0,105000.0,1,6.28,0.0,2808.0,5.9,28.0,4.0
36,13.11,303.73,8.0,60000.0,1,21.76,0.0,6276.0,41.0,24.0,4.0
36,6.62,736.89,0.0,160000.0,1,22.5,0.0,401258.0,73.6,19.0,4.0
60,16.29,587.34,2.0,93600.0,1,11.77,0.0,20676.0,78.6,18.0,2.0
36,12.12,332.72,5.0,30000.0,1,22.04,0.0,5318.0,66.5,7.0,0.0
36,8.9,47.63,7.0,100000.0,1,16.6,0.0,842.0,93.6,33.0,0.0
36,14.09,684.43,8.0,110000.0,1,17.08,0.0,20634.0,84.6,20.0,1.0
60,17.27,449.97,5.0,55000.0,1,9.76,0.0,17000.0,89.0,10.0,1.5905941574050508
36,17.99,977.79,6.0,55000.0,1,18.46,0.0,4538.0,28.9,16.0,3.0
36,12.12,199.63,7.0,74350.0,1,17.88,0.0,11102.0,37.9,24.0,0.0
36,15.31,174.09,10.0,60000.0,1,21.92,0.0,8607.0,55.5,42.0,3.0
36,16.29,300.06,4.0,67000.0,1,20.4,0.0,8419.0,45.5,35.0,0.0
36,13.67,357.19,0.0,99000.0,1,21.64,0.0,12799.0,67.4,29.0,1.5905941574050508
36,7.9,134.55,8.0,43500.0,1,21.57,0.0,21067.0,82.6,28.0,1.0
36,8.9,381.04,5.0,60000.0,1,23.74,0.0,13600.0,60.2,31.0,3.0
36,17.77,635.16,10.0,45000.0,1,16.72,0.0,21761.0,76.4,18.0,0.0
36,16.29,1059.02,2.0,73000.0,1,15.99,0.0,22452.0,42.1,36.0,0.0
36,7.9,1095.16,10.0,118000.0,1,8.45,0.0,25989.0,49.9,24.0,2.0
36,19.99,1300.55,10.0,120000.0,1,20.48,0.0,43703.0,49.2,21.0,1.5905941574050508
36,10.74,326.16,10.0,90000.0,1,10.77,0.0,1550.0,10.4,26.0,6.0
36,9.76,659.17,5.740067017711824,45000.0,1,20.09,0.0,17380.0,59.5,29.0,1.5905941574050508
36,6.62,346.96,0.0,130000.0,1,13.97,0.0,23536.0,33.2,14.0,2.0
36,22.47,38.44,10.0,62964.0,1,19.94,0.0,12611.0,80.8,17.0,3.0
36,17.77,365.78,10.0,49700.0,1,30.23,0.0,15099.0,56.9,34.0,2.0
36,19.05,165.07,10.0,16627.2,1,32.12,0.0,15691.0,43.1,15.0,0.0
36,6.62,319.32,2.0,104000.0,1,5.49,0.0,9893.0,27.4,40.0,4.0
36,14.09,342.22,10.0,58000.0,1,17.57,0.0,7548.0,65.1,25.0,1.0
36,11.14,164.03,2.0,33000.0,1,22.15,1.0,4879.0,19.8,14.0,0.0
36,8.9,222.28,5.740067017711824,24000.0,1,8.0,0.0,4478.0,14.7,30.0,4.0
36,16.29,882.51,2.0,130000.0,1,18.94,0.0,29114.0,69.8,39.0,2.0
36,19.05,880.36,2.0,190000.0,1,9.35,0.0,13745.0,41.8,19.0,0.0
36,6.03,82.18,8.0,30000.0,1,0.8,0.0,263.0,0.7,13.0,3.0
36,19.05,178.83,5.0,55000.0,1,8.92,0.0,3054.0,92.5,16.0,0.0
36,13.11,410.87,5.740067017711824,35065.0,1,31.41,0.0,21905.0,95.7,7.0,0.0
36,13.11,283.48,5.740067017711824,34346.76,1,26.48,0.0,3814.0,46.0,23.0,2.0
36,6.62,307.81,10.0,30000.0,1,3.68,0.0,1461.0,7.3,25.0,0.0
36,11.14,49.21,10.0,101600.0,1,16.44,0.0,67278.0,69.2,78.0,24.0
36,14.09,136.89,2.0,65000.0,1,17.72,0.0,3774.0,66.2,35.0,1.0
36,7.62,155.81,0.0,18000.0,1,18.09,0.0,5888.0,70.1,7.0,0.0
36,19.72,587.71,9.0,40000.0,1,23.55,0.0,3437.0,37.8,16.0,0.0
36,11.14,262.45,10.0,89000.0,1,22.89,0.0,24389.0,89.3,45.0,4.0
60,18.49,564.54,10.0,76000.0,1,11.72,1.0,5393.0,35.7,15.0,0.0
36,12.69,218.05,10.0,41000.0,1,18.35,0.0,14674.0,82.4,12.0,1.5905941574050508
36,13.99,751.81,9.0,45000.0,1,19.52,0.0,18525.0,55.8,28.0,1.0
36,14.09,273.78,3.0,135000.0,1,5.3,0.0,14358.0,35.1,20.0,0.0
36,13.11,337.47,4.0,45923.0,1,17.96,0.0,8048.0,33.5,22.0,0.0
36,15.8,464.53,5.0,53000.0,1,14.2,0.0,2817.0,32.4,25.0,0.0
36,10.65,73.29,9.0,29000.0,1,0.62,0.0,346.0,69.2,5.0,1.5905941574050508
36,12.12,199.63,1.0,35700.0,1,21.68,0.0,8737.0,85.7,41.0,0.0
36,6.62,44.53,5.740067017711824,22000.0,1,3.44,0.0,660.0,1.6,17.0,0.0
36,16.29,644.24,7.0,70000.0,1,6.43,0.0,6918.0,61.2,21.0,6.0
36,12.12,332.72,7.0,32000.0,1,29.78,0.0,8256.0,48.3,44.0,0.0
36,12.42,334.16,10.0,131746.0,1,4.08,0.0,17302.0,79.7,19.0,1.5905941574050508
36,12.12,359.34,3.0,41524.08,1,23.06,0.0,16086.0,83.3,16.0,0.0
36,18.49,727.98,4.0,70000.0,1,15.07,0.0,30771.0,91.9,9.0,1.0
36,13.49,678.61,7.0,106000.0,1,21.91,0.0,28447.0,78.6,29.0,1.5905941574050508
36,16.29,670.71,10.0,66000.0,1,17.6,0.0,12458.0,51.5,35.0,4.0
36,6.03,517.41,2.0,87500.0,1,17.19,0.0,18179.0,31.0,36.0,3.0
36,17.99,375.94,7.0,40000.0,1,15.82,0.0,7429.0,55.4,25.0,0.0
36,15.31,469.17,7.0,40000.0,1,19.47,0.0,6068.0,31.0,16.0,0.0
36,13.11,293.6,2.0,55000.0,1,9.23,0.0,5892.0,83.0,10.0,0.0
36,12.12,46.59,2.0,37000.0,1,28.49,0.0,12762.0,76.4,25.0,7.0
